,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
257,0.10850987434387208,0.0150646325883248,0.000998687744140625,2.529485170340508e-06,0.001,"(25, 25)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 20}",0.4974424552429668,0.4999999999999999,0.5,0.5019685039370078,0.500694233302929,0.500020028627618,0.001476848373093475,238,0.49792850827333585,0.5,0.5,0.49987629503633824,0.49940604397544475,0.4994421694570238,0.0007878185168415726
258,0.11429476737976074,0.005069609885239505,0.0009979248046875,1.0182455303222e-06,0.001,"(25, 25)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 25}",0.5098727269065791,0.4999999999999999,0.5,0.5508984453866342,0.5,0.5121573005228994,0.019744741332329768,202,0.5205143993937097,0.5,0.5,0.5605513706951777,0.500492125984252,0.5163115792146279,0.02348281576454764
259,0.1310492992401123,0.011063137904218019,0.0007981300354003906,0.0003990653168272287,0.001,"(25, 25)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 30}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
260,0.12965354919433594,0.010205236073189882,0.0009978294372558593,2.78041453115716e-07,0.001,"(25, 25)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 35}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
261,0.1495999813079834,0.006082945742425624,0.000997781753540039,5.840038639982171e-07,0.001,"(25, 25)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 40}",0.6409569647783797,0.5345144356955379,0.5303957197657985,0.5358873410054512,0.5320462146549102,0.5547939583943395,0.043165359548198785,187,0.6159103827207275,0.5276767766020897,0.5198701097881553,0.5296737281583422,0.5378066881213839,0.5461875370781397,0.03532555718269983
262,0.18330950736999513,0.07852798490249725,0.0009973526000976562,9.536743164062499e-08,0.001,"(25, 25)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 45}",0.5,0.8859580052493438,0.5,0.4999999999999999,0.5,0.5771916010498688,0.15438320209973752,166,0.5,0.9088824581943493,0.5,0.4999999999999999,0.5,0.5817764916388699,0.16355298327773973
263,0.1555840015411377,0.009075094473695837,0.000997638702392578,1.9073486328125e-07,0.001,"(25, 25)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 50}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
264,0.23676719665527343,0.08233110509927823,0.0005983829498291016,0.0004885776558898482,0.001,"(25, 25)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 55}",0.5,0.4999999999999999,0.8880173632142137,0.9063294972743791,0.5,0.6588693720977187,0.19466060081965425,132,0.5,0.5,0.9053104773686187,0.9016655989750159,0.5,0.6613952152687269,0.19767132260727266
265,0.4599750518798828,0.06191774803329208,0.000997161865234375,1.0293499538861706e-06,0.001,"(25, 25)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 60}",0.9232434500674628,0.8918635170603673,0.9047748839087422,0.9088027458106198,0.9182223573527921,0.9093829501855605,0.010944651753230335,37,0.9164029935581659,0.9286133998983853,0.923143873290773,0.9125538447944509,0.9112114559110606,0.9183851134905672,0.006582666553565549
266,0.43782877922058105,0.023063656609361032,0.001796388626098633,0.0003973961162544242,0.001,"(100, 25, 100)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 2}",0.8679390619650803,0.8568847163335351,0.8720371492025035,0.8518978396931152,0.8891101651971216,0.8675672116014911,0.012985699441676404,92,0.8595380194518125,0.875451191764784,0.8707967925070136,0.8580905255251937,0.8673930122523922,0.8662539083002392,0.006607107676033313
267,0.1507965087890625,0.00517780519371901,0.001197481155395508,0.00039904189877542305,0.001,"(100, 25, 100)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 3}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.5004926108374382,0.500492125984252,0.5001969473643381,0.00024121032313690984
268,0.2999976634979248,0.12786777185907441,0.0011975288391113282,0.00039842218280016184,0.001,"(100, 25, 100)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 4}",0.5,0.8202200686452653,0.5,0.8563799717343024,0.8885223472179994,0.7129038184054706,0.17528412229015522,119,0.5,0.8367646733968058,0.5,0.8731361417305441,0.8635959812758831,0.7146993592806465,0.17570656717151212
269,0.359438419342041,0.11060316561519606,0.0013962745666503905,0.0004885387533284932,0.001,"(100, 25, 100)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 5}",0.5,0.8459014738542296,0.8632949727437916,0.8757924490207953,0.8697223066788284,0.7908274198673928,0.14589750938784624,107,0.5,0.8585102387947602,0.8741743798184188,0.8816607391371578,0.872761945956307,0.7974214607413288,0.14889917356217922
270,0.44301519393920896,0.06783431080104242,0.0013965606689453126,0.0004889864643875651,0.001,"(100, 25, 100)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 6}",0.8807267857502467,0.8669089440742982,0.8638905713708863,0.8713506965475467,0.889003749873315,0.8743735790375062,0.009261614225123855,88,0.8549150562081598,0.8852526011177627,0.8842740064945106,0.8792948817071284,0.8816583605300458,0.8770789812115215,0.011275610428695708
271,0.47054157257080076,0.1365363988316414,0.001795053482055664,0.00039887452510317905,0.001,"(100, 25, 100)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 7}",0.886043256741245,0.8592671108419141,0.8737330910559258,0.8898445386634362,0.8955204216073781,0.8808787405630772,0.012955832377330678,81,0.8669808639636225,0.8794959022730786,0.8972298924208619,0.8993682210784422,0.8807759386018452,0.8847701636675701,0.012071279732213003
272,0.47433109283447267,0.1486799418049567,0.001397085189819336,0.0004887531885041169,0.001,"(100, 25, 100)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 8}",0.8949090762631654,0.86773672521704,0.8801433474661822,0.8684231778719969,0.888096685922773,0.8798639181974055,0.010699709479781452,82,0.8820907540735127,0.9000883606883298,0.9009984757781263,0.8807528330645696,0.8792529016832539,0.8886366650575583,0.00976744050077233
273,0.46056838035583497,0.11157521170385443,0.001595783233642578,0.0004884610180441083,0.001,"(100, 25, 100)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 9}",0.9082858408683568,0.855743993539269,0.8750151423379772,0.8894811225519886,0.9164589034154249,0.888994462324421,0.022032300506764475,73,0.8914456233421751,0.8730190638185072,0.9032892266230754,0.8917360666239589,0.8969461076334069,0.8912872176082247,0.010099735218409506
