,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
222,0.19727230072021484,0.05783963010265493,0.0011968612670898438,0.00039887435409171316,0.001,"(50,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 35}",0.9048371830759007,0.874833434282253,0.8864627498485765,0.901110438118312,0.9341390493564407,0.9002674709778244,0.020022927665409886,143,0.9083254389288871,0.9010006847953345,0.8784863814089112,0.9132187589741324,0.9318107588008898,0.906568404581631,0.01734410769607778
223,0.3137606143951416,0.10296525377478394,0.000997781753540039,3.015782985847835e-07,0.001,"(50,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 40}",0.9323962381940109,0.910266505148395,0.8981829194427619,0.9173632142136078,0.9005422114117766,0.9117601102370118,0.012410661731361468,83,0.9242137173171656,0.9515960149329564,0.937997304999006,0.9330711966246218,0.9208121686582899,0.933538080506408,0.010909484319975467
224,0.2591057777404785,0.06156456406226392,0.0009975433349609375,3.015782985847835e-07,0.001,"(50,)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 45}",0.9114324264454156,0.8990510801534424,0.9048657379366041,0.8998283868362609,0.9289044289044289,0.9088109859675102,0.01096822652178702,96,0.8989595174940003,0.9348693366321323,0.9255826282886744,0.928613399898385,0.9294519589199333,0.9234953682466249,0.01262859456875936
225,0.23736495971679689,0.047630181031834855,0.0013966083526611329,0.0004882662880736069,0.001,"(50,)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 50}",0.9382010592665686,0.9023016353725014,0.8981829194427619,0.9200181708055724,0.9392672544846458,0.9195938767578826,0.01726752087695114,38,0.9309381710243779,0.9309041507433343,0.9248205173518302,0.9267909607015837,0.9386072046487463,0.9304122008939745,0.004734069098345696
226,0.2507293701171875,0.07113568736398371,0.0013964176177978516,0.0004885192613241603,0.001,"(50,)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 55}",0.9270797672030126,0.9034928326266907,0.8720876236624269,0.9265192812436905,0.9365967365967366,0.9131522926859543,0.023243720923650377,73,0.9293656056587091,0.9337626190108022,0.9042280589365792,0.9460292915681812,0.9318659298753575,0.9290503010099258,0.013672329324558584
227,0.2533229351043701,0.05941302579215057,0.0011968135833740235,0.0003986598308787297,0.001,"(50,)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 60}",0.9427271079606099,0.9028972339995962,0.8930547143145571,0.9159903089036947,0.8978716935238674,0.9105221419933958,0.01784212306476596,87,0.9264573070607554,0.9352404515231174,0.9101636881751308,0.919081490644812,0.8897064016101126,0.9161298678027856,0.015584462481235685
228,0.18031721115112304,0.03177986073043786,0.0011969566345214843,0.00039894581909694896,0.001,"(25,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 2}",0.578312221841835,0.5703916818090046,0.5847668079951546,0.6132747829598223,0.5812861051991486,0.585605396394733,0.014626384315936427,370,0.5942070860174309,0.5925821202147165,0.5922839028916035,0.5908369966202036,0.5979857198343481,0.5935791651156606,0.0024496244597371312
229,0.20525078773498534,0.04003469766864254,0.000997447967529297,1.9073486328124998e-07,0.001,"(25,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 3}",0.7515254646877579,0.7040682414698162,0.7457298606904906,0.7259034928326266,0.7563747846356542,0.7367188628632851,0.019336828093726752,344,0.7322817986611091,0.7482736530517573,0.7339128321809627,0.742733437893481,0.741601701412884,0.7397606846400389,0.005913177651848778
230,0.1543869972229004,0.06221140627880398,0.000997447967529297,1.9073486328124998e-07,0.001,"(25,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 4}",0.739341885333387,0.7035130224106602,0.7284675953967293,0.7399555824752674,0.7880460119590554,0.7398496940098566,0.027457069958973814,336,0.7594038145762284,0.7441759261304646,0.7364929642801917,0.732920983454461,0.7484022456834153,0.7442791868249523,0.009331652448071836
231,0.11947994232177735,0.04889741760276839,0.0007982254028320312,0.0003991129292951182,0.001,"(25,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 5}",0.7569275228064523,0.750171613163739,0.7400060569351908,0.6915707651928124,0.7372554981250633,0.7351924005690867,0.022925069404015095,349,0.716193002399899,0.7555170204775895,0.7340166559897502,0.7479334644016875,0.7242224976922729,0.7355765281922398,0.014542251456298437
