mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.055597686767578126,0.007526327587877523,0.0007982254028320312,0.0003991132141438134,relu,10.0,"(11,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.032}",0.9484616585975323,0.9440553971718436,0.9486220617056621,0.9349712080285215,0.9441096326115955,0.9440460572961469,0.00495509642730186,2695,0.9530741376713717,0.9394812272306583,0.9394812272306583,0.9471503555362476,0.9435951411798914,0.9445564177697655,0.005132625763823568
0.047858238220214844,0.005038486775692851,0.0013635635375976562,0.00037176303771143055,relu,10.0,"(11,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.064}",0.9389478890103596,0.9514504551260631,0.9631396470373557,0.9431257684584309,0.9552359612435853,0.9503785541310729,0.008613371427027608,2594,0.9401604055171007,0.9501472737246429,0.9542735014872589,0.9524184863148132,0.954853110140474,0.950370555436858,0.005363158053443185
0.04468169212341309,0.006184964424533831,0.0010131359100341796,0.00030835867089399737,relu,10.0,"(11,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.128}",0.93661115291601,0.952827326996405,0.9527728208810556,0.9415283243689742,0.9578552473546041,0.9483167505544479,0.007928894691330296,2628,0.9364935744110123,0.9530486653791022,0.9449375712919517,0.9466346809697793,0.9580513589057953,0.9478331701915282,0.007348742375663375
0.057580757141113284,0.011037606144338397,0.0017951488494873046,0.00039904118652603566,relu,10.0,"(44,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (44,), 'MLP__learning_rate_init': 1e-06}",0.6390411218226305,0.6285716316998088,0.6166501963405069,0.6184019387701817,0.6424549843578654,0.6290250837185699,0.010457663810092907,2905,0.6255904106518798,0.6272484099801767,0.6318290984666878,0.6307374627685628,0.6278835895215639,0.6286577942777742,0.002296814781450944
0.11744370460510253,0.03395183582953058,0.0016382217407226562,0.0003667754860831283,relu,10.0,"(44,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (44,), 'MLP__learning_rate_init': 0.001}",0.928469846047544,0.9432034428906251,0.9485130494749637,0.9270397675754454,0.933558906047501,0.9361576222217767,0.00838237484766773,2755,0.9267308237347749,0.9414348749040179,0.9399550992212081,0.9408987919603056,0.9347712035709593,0.9367581586782532,0.0055449505702947766
0.10153264999389648,0.014738699643527569,0.0015523433685302734,0.0005469556876604837,relu,10.0,"(44,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (44,), 'MLP__learning_rate_init': 0.002}",0.942712696226674,0.942405994724756,0.945323256811487,0.9420481464426606,0.9431435705842421,0.943126832621321,0.0011558117288179533,2716,0.9450381491552517,0.9417646441707374,0.9359646762363717,0.9490207959858701,0.9474803635598269,0.9438537258216115,0.004644466374133462
0.09115657806396485,0.02628563383910802,0.0013962745666503905,0.0004886360620900065,relu,10.0,"(44,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (44,), 'MLP__learning_rate_init': 0.004}",0.9435101443925433,0.9495830282175789,0.9509599000879206,0.9348596480401047,0.9431435705842421,0.9444127843737306,0.005713816960852622,2691,0.9482304875431207,0.9481354663401229,0.9459961521238741,0.9484224712950046,0.9442892985418772,0.9470147751688,0.0016236581791649182
0.0676663875579834,0.019545380968130983,0.0011916160583496094,0.00040150863806955197,relu,10.0,"(44,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (44,), 'MLP__learning_rate_init': 0.008}",0.9485172670007903,0.9440008910564942,0.9422969824940576,0.9357699300732498,0.9495891269362781,0.9440359463054504,0.0049442951072194066,2696,0.9527026666461117,0.9415041479357822,0.9335510111788151,0.9480786882506924,0.9481751133958227,0.9448023254814448,0.006663267824250925
0.06811141967773438,0.015442069092507657,0.0011755466461181641,0.0003558875208379368,relu,10.0,"(44,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (44,), 'MLP__learning_rate_init': 0.016}",0.9445300261714443,0.9535702690469249,0.9613812323595696,0.9397635402968919,0.9420659485684717,0.9482638901236498,0.008059901431401768,2629,0.9505355052776753,0.9524778111440823,0.9486453454894291,0.9510703117050202,0.9353347944729877,0.9476127536178389,0.006260678823592135
0.06343107223510742,0.019600934943673643,0.0011967658996582032,0.00039892196655273433,relu,10.0,"(44,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (44,), 'MLP__learning_rate_init': 0.032}",0.9501677717357867,0.9447983392223634,0.9527183147657066,0.9173993230444958,0.9473045207905093,0.9424819532781076,0.01281628644663578,2717,0.9527853804657824,0.9453698794634429,0.9455361347396772,0.9333200125426748,0.9487321130244895,0.9451487040472134,0.006500409378433041
