,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
43,0.2964060306549072,0.07615351422504651,0.001795053482055664,0.0003992319213842127,0.01,"(50,)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.9139543141200138,0.8716444478676606,0.8935691918984058,0.8911209593105713,0.8535719581011207,0.8847757850955481,0.020568541765815504,101,0.8800462929629841,0.8855659424997463,0.8682644529919393,0.8849204273495939,0.8974122611452768,0.8832418753899081,0.009418636693309662
44,0.2872318267822266,0.039315582810907974,0.0019948482513427734,1.5078914929239175e-07,0.01,"(50,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.9084305104186575,0.879826512124825,0.8884438485429661,0.8776048807238843,0.8466777313569526,0.8802011743987078,0.01997847703736557,114,0.8693369666122314,0.8864543226464965,0.8784895209634846,0.8821371107801758,0.8955744378349011,0.8823984717674579,0.0086718755876336
45,0.4966712951660156,0.06991816796183788,0.001994943618774414,2.431401974483864e-07,0.01,"(50,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",0.9262123598410941,0.9034599142087605,0.9017016798795969,0.8911209593105713,0.8613730236928494,0.8967788207735262,0.021075882764302445,79,0.8883058331325876,0.905131335828682,0.8895917646529198,0.894696745023592,0.9006761960615284,0.8956803749398619,0.006429641674422783
46,0.2978034019470215,0.07090093867701001,0.001994895935058594,9.536743164062499e-08,0.01,"(50,)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",0.9205390224907366,0.8752443518666901,0.8935691918984058,0.894001324099134,0.8375196458537013,0.8841797996966444,0.027436523608291567,105,0.8875815564929541,0.8831898084778472,0.8874212597173925,0.8817600720898755,0.8889769995463487,0.8857859392648836,0.002793881941181027
47,0.5668840885162354,0.12820234055064184,0.001994752883911133,4.156969970265077e-07,0.01,"(50,)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 7}",0.9262123598410941,0.9162753821442817,0.906267231629586,0.8935691918984058,0.8826197847528681,0.9049930791442167,0.015558673435942149,35,0.8936938038540162,0.9160210552743577,0.9147880986077277,0.9063218562427205,0.9108381427612889,0.9083325913480221,0.008067229938083518
48,0.43483705520629884,0.12331305541704696,0.001994752883911133,3.2340669551493016e-07,0.01,"(50,)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 8}",0.9311869720863845,0.8934183624203922,0.9040989064634808,0.8986430718115566,0.8466777313569526,0.8948107062479409,0.027360822360787313,81,0.8985446990896936,0.898093631727046,0.91345637330096,0.9145712527243701,0.8982127599955444,0.9045757433675229,0.007715628543551032
49,0.28005051612854004,0.06294571336927705,0.001596355438232422,0.0004884415182825454,0.01,"(25,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 2}",0.90819212396321,0.8991863963159453,0.8878935776063414,0.895357044058699,0.8370947086688161,0.8855494744915259,0.025091561761290317,97,0.8717678635299762,0.904974360710946,0.8758570630307548,0.8889758370595656,0.8937403374448685,0.8870630923552222,0.012071262124893239
50,0.25870819091796876,0.02666133019838985,0.0015958786010742188,0.0004885387300577005,0.01,"(25,)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 3}",0.90019484736956,0.8998039836646176,0.8857537800650762,0.8982110844749355,0.8727162114977213,0.891338071591119,0.010726265781934387,89,0.8696007608071626,0.9007418641126298,0.8790446499187293,0.8983561499022141,0.9063167816049043,0.8908120412691278,0.01403069383658964
51,0.22160716056823732,0.07273652829151513,0.001596355438232422,0.0004886360620900065,0.01,"(25,)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 4}",0.8967045673540177,0.8811178398752681,0.9014853119155039,0.8782511294878065,0.8385838786968115,0.8792314861857238,0.02216729771124312,119,0.8874977414576779,0.8812856246559331,0.8869658984976773,0.8827302520528303,0.8926910537709576,0.8862341140870151,0.004014696238615816
52,0.3331087589263916,0.0818624902515817,0.001396512985229492,0.0004886361086223201,0.01,"(25,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 5}",0.8900498116875223,0.8881061357069054,0.8990754748697277,0.8906892868097365,0.8062354235775544,0.8748347156809512,0.034500156880838725,126,0.8610596162276238,0.8946813501260596,0.875430709112814,0.9036160722756701,0.8541267621407866,0.8777829019765908,0.018961668107013392
53,0.23537030220031738,0.047892559528843325,0.001994943618774414,3.2340669551493016e-07,0.01,"(25,)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 6}",0.9079965606190882,0.9034599142087606,0.893785205766358,0.9001892815775364,0.860729946044633,0.8932353550540764,0.016897157224610066,84,0.8798505322416109,0.8979314113192848,0.8841652411036394,0.9063167816049043,0.9063759892489169,0.8949279911036712,0.011072021467703067
